yy	mm	dd	Sardegna_CA011B097	Sardegna_CA013B093	Sardegna_CA026B079	Sardegna_CA029B017	Sardegna_CA030B175	Sardegna_CA034B191	Sardegna_CA038B170	Sardegna_CA039B232	Sardegna_CA040B077	Sardegna_CA045B021	Sardegna_CA051B276	Sardegna_CA054B109	Sardegna_CA061B225	Sardegna_CA067B113	Sardegna_CA069B312	Sardegna_CA073B050	Sardegna_CA073B171	Sardegna_CA078B229	Sardegna_CA082A008	Sardegna_CA082B039	Sardegna_CA084B044	Sardegna_CA085B210	Sardegna_CA086B062	Sardegna_CA088B119	Sardegna_CA092B140	Sardegna_CA095B182	Sardegna_CA102B148	Sardegna_CA103B212	Sardegna_CA104B085	Sardegna_CA105B047	Sardegna_NU002B035	Sardegna_NU004B216	Sardegna_NU015B068	Sardegna_NU016B126	Sardegna_NU022B201	Sardegna_NU034B095	Sardegna_NU042B031	Sardegna_NU043B096	Sardegna_NU045B433	Sardegna_NU048A002	Sardegna_NU048B065	Sardegna_NU058B202	Sardegna_NU060B054	Sardegna_NU063B023	Sardegna_NU063B025	Sardegna_NU063B172	Sardegna_NU063B227	Sardegna_NU065B051	Sardegna_NU067B101	Sardegna_NU073B090	Sardegna_NU076B127	Sardegna_NU076B180	Sardegna_NU077B067	Sardegna_NU078B020	Sardegna_NU079B194	Sardegna_NU083B009	Sardegna_NU090B049	Sardegna_NU095B211	Sardegna_OR004B207	Sardegna_OR009B001	Sardegna_OR025B037	Sardegna_OR030B156	Sardegna_OR032E006	Sardegna_OR038B181	Sardegna_OR039B174	Sardegna_OR042B200	Sardegna_OR073B221	Sardegna_OR077B103	Sardegna_SS001B271	Sardegna_SS002B078	Sardegna_SS003B139	Sardegna_SS005B003	Sardegna_SS012B002	Sardegna_SS013B169	Sardegna_SS013B224	Sardegna_SS014B110	Sardegna_SS015B041	Sardegna_SS018B022	Sardegna_SS022B165	Sardegna_SS022B187	Sardegna_SS025B151	Sardegna_SS028B107	Sardegna_SS028B236	Sardegna_SS038B038	Sardegna_SS038B111	Sardegna_SS042B045	Sardegna_SS051B087	Sardegna_SS052B048	Sardegna_SS053B458	Sardegna_SS054B034	Sardegna_SS059A001	Sardegna_SS059B061	Sardegna_SS059B159	Sardegna_SS060B237	Sardegna_SS068B230	Sardegna_SS073B028	Sardegna_SS077B168	Sardegna_SS086B155
1981	01	11	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	15	12.4	12	NA	13.6	12	NA	NA	NA	NA	12.5	NA	11	NA	8	9.5	11	NA	NA	14.2	NA	8	NA	NA	NA	4.4	NA	NA	3.1	NA	NA	NA	NA	NA	9	8.4	NA	7.5	NA	NA	NA	NA	8	NA	NA	NA	10.2	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	8	NA	10	12
1981	01	12	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	11	9.4	14	NA	15	15.5	NA	NA	NA	NA	15	NA	16	NA	NA	8	12.5	NA	NA	13.8	NA	10	NA	NA	NA	7	NA	NA	13	NA	NA	NA	NA	NA	10	7	NA	9	NA	NA	NA	NA	9.5	NA	NA	NA	10.4	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	10.5	NA	12	14
1981	01	13	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	13	11.4	10	NA	11.4	12	NA	NA	NA	NA	12	NA	11	NA	5	7	10	NA	NA	14	NA	5	NA	NA	NA	2	NA	NA	0	NA	NA	NA	NA	NA	4	7.4	NA	3.5	NA	NA	NA	NA	4	NA	NA	NA	10	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	6	NA	13	11
1981	01	14	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	13	9.4	9	NA	9.6	10.5	NA	NA	NA	NA	10.5	NA	11	NA	7	11	10	NA	NA	15	NA	8	NA	NA	NA	1.2	NA	NA	3	NA	NA	NA	NA	NA	5	9.3	NA	6	NA	NA	NA	NA	5	NA	NA	NA	10.2	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	6.5	NA	12	10
1981	01	15	6.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	11	12.6	12	NA	13.2	12	NA	NA	NA	NA	12.5	NA	8	NA	7	12	13	NA	NA	13.5	NA	7	NA	NA	NA	4.2	NA	NA	2.8	NA	NA	NA	NA	NA	7	9.4	NA	3.5	NA	NA	NA	NA	7	NA	NA	NA	10.2	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	7.5	NA	14	10
1981	01	16	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	11	12.8	11	NA	12.2	12	NA	NA	NA	NA	14	NA	8	NA	6	12	11.5	NA	NA	12.5	NA	9	NA	NA	NA	2.4	NA	NA	6	NA	NA	NA	NA	NA	6	10.3	NA	7	NA	NA	NA	NA	7	NA	NA	NA	10.3	NA	10.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.2	7.5	NA	10	11
1981	01	17	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	13	11.4	13	NA	16.6	14	NA	NA	NA	NA	14	NA	14	NA	6	11	14	NA	NA	13	NA	10	NA	NA	NA	5.8	NA	NA	4	NA	NA	NA	NA	NA	7	10.4	NA	7.5	NA	NA	NA	NA	8	NA	NA	NA	10.2	NA	13.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	9	NA	10.5	12
1981	01	18	7.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	13	10.4	11	NA	13	16.5	NA	NA	NA	NA	13	NA	14	NA	7	NA	11	NA	NA	12.2	NA	10	NA	NA	NA	3.4	NA	NA	3	NA	NA	NA	NA	NA	7	10.4	NA	4.5	NA	NA	NA	NA	6.5	NA	NA	NA	10.3	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.2	6.5	NA	10	13
1981	01	19	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	14	10.4	12	NA	13.8	13	NA	NA	NA	NA	13.5	NA	14	NA	8	12.5	13	NA	NA	13.5	NA	9	NA	NA	NA	5.2	NA	NA	6.2	NA	NA	NA	NA	NA	7	9.4	NA	6	NA	NA	NA	NA	7.5	NA	NA	NA	10.4	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	8	NA	12	11
1981	01	20	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	15	13.4	13	NA	16	15	NA	NA	NA	NA	14	NA	15	NA	6	NA	10.5	NA	NA	14	NA	9	NA	NA	NA	6.2	NA	NA	2.4	NA	NA	NA	NA	NA	7	9.3	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	15	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.2	8	NA	10	10
1981	01	21	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	12	12.4	11	NA	12	12	NA	NA	NA	NA	14	NA	14	NA	5	11	10.5	NA	NA	10	NA	6	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	5	8.4	NA	3	NA	NA	NA	NA	6.5	NA	NA	NA	NA	NA	11.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	6	NA	10	9
1981	01	22	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	13	12.8	12	NA	12.6	11.5	NA	NA	NA	NA	13.5	NA	16	NA	5	7	11	NA	NA	8.5	NA	6	NA	NA	NA	2	NA	NA	7.6	NA	NA	NA	NA	NA	5	8.2	NA	0	NA	NA	NA	NA	7	NA	NA	NA	10.4	NA	11.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.2	6	NA	11.5	7
1981	01	23	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	12	13.2	12	NA	12.4	11.5	NA	NA	NA	NA	13	NA	14	NA	9	10	9	NA	NA	10	NA	6	NA	NA	NA	3	NA	NA	10	NA	NA	NA	NA	NA	10	8.3	NA	9	NA	NA	NA	NA	8.5	NA	NA	NA	10	NA	10.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	6.3	NA	11	12
1981	01	24	9.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5	NA	NA	13	13.4	12	NA	13.2	10.5	NA	NA	NA	NA	13	NA	13	NA	7	12	11	NA	NA	16.2	NA	10	NA	NA	NA	6.2	NA	NA	11.7	NA	NA	NA	NA	NA	10	9.4	NA	9.5	NA	NA	NA	NA	10	NA	NA	NA	10	NA	13.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	8.5	NA	12	13
1981	01	25	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	15	13.2	14	NA	14.6	14	NA	NA	NA	NA	13	NA	16	NA	8	11	13	NA	NA	16.8	NA	10	NA	NA	NA	5.4	NA	NA	14.3	NA	NA	NA	NA	NA	10	9	NA	6	NA	NA	NA	NA	9	NA	NA	NA	5.4	NA	13.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	8	NA	10	14
1981	01	26	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	14	13.2	12	NA	13.8	13.5	NA	NA	NA	NA	12.5	NA	15	NA	7	12.5	14	NA	NA	17	NA	10	NA	NA	NA	4	NA	NA	10.5	NA	NA	NA	NA	NA	7	9.2	NA	6	NA	NA	NA	NA	9	NA	NA	NA	10.4	NA	12.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.2	7.5	NA	11.5	11
1981	01	27	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	NA	NA	15	14.6	13	NA	13.6	14.5	NA	NA	NA	NA	12.5	NA	11	NA	7	NA	11	NA	NA	13	NA	10	NA	NA	NA	4.8	NA	NA	9.8	NA	NA	NA	NA	NA	11	8.3	NA	9	NA	NA	NA	NA	10.5	NA	NA	NA	10.4	NA	15.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.2	9	NA	10	12
1981	01	28	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	14	12.4	11	NA	12.6	12	NA	NA	NA	NA	13	NA	14	NA	6	5	9	NA	NA	10	NA	9	NA	NA	NA	1.4	NA	NA	9	NA	NA	NA	NA	NA	8	8.4	NA	8	NA	NA	NA	NA	9	NA	NA	NA	10.3	NA	13.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.6	7	NA	10	10
1981	01	29	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	13	10.2	9	NA	10.4	10.5	NA	NA	NA	NA	12.5	NA	11	NA	4	7	10	NA	NA	11.8	NA	10	NA	NA	NA	2.2	NA	NA	12	NA	NA	NA	NA	NA	6	7.2	NA	7.5	NA	NA	NA	NA	8.5	NA	NA	NA	10.2	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	5.5	NA	13	10
1981	01	30	8.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	NA	12	10.2	10	NA	11	10.5	NA	NA	NA	NA	12.5	NA	10	NA	4	6	8	NA	NA	11.5	NA	8	NA	NA	NA	1.4	NA	NA	12.5	NA	NA	NA	NA	NA	8	7.4	NA	8	NA	NA	NA	NA	5	NA	NA	NA	10.1	NA	12.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.9	6.5	NA	13	10
1981	01	31	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	15	13.6	12	NA	14.6	11.5	NA	NA	NA	NA	13	NA	16	NA	9	11	13	NA	NA	16	NA	8	NA	NA	NA	7.2	NA	NA	19	NA	NA	NA	NA	NA	11	7.2	NA	11	NA	NA	NA	NA	11	NA	NA	NA	10.2	NA	14.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	9	NA	16	12
1981	02	01	13.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	16	11.4	15	NA	14	14	NA	NA	NA	NA	13	NA	15	NA	12	13	13	NA	NA	18	NA	10	NA	NA	NA	9.4	NA	NA	22.3	NA	NA	NA	NA	NA	14	7.3	NA	12.5	NA	NA	NA	NA	13	NA	NA	NA	10.4	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	11.5	NA	13	13
1981	02	02	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5	NA	NA	16	10.4	14	NA	14.2	16	NA	NA	NA	NA	14	NA	16	NA	10	14	13	NA	NA	16.8	NA	12	NA	NA	NA	11.2	NA	NA	17	NA	NA	NA	NA	NA	9	6.4	NA	14	NA	NA	NA	NA	13	NA	NA	NA	15	NA	16.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	12	NA	12	14
1981	02	03	14.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	NA	NA	16	11.6	14	NA	15	15	NA	NA	NA	NA	14	NA	15	NA	11	11	13	NA	NA	15.5	NA	10	NA	NA	NA	9	NA	NA	13.8	NA	NA	NA	NA	NA	11	6.3	NA	8	NA	NA	NA	NA	11	NA	NA	NA	10.3	NA	14.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	8.5	NA	13	15
1981	02	04	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5	NA	NA	15.3	10.4	14	NA	14.6	15.5	NA	NA	NA	NA	12	NA	15	NA	8	9	15	NA	NA	16.2	NA	14	NA	NA	NA	6.2	NA	NA	10	NA	NA	NA	NA	NA	9	7.2	NA	13	NA	NA	NA	NA	10	NA	NA	NA	15	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	9	NA	10	14
1981	02	05	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	16	10.4	10	NA	11.4	10.5	NA	NA	NA	NA	12.5	NA	14	NA	5	10.5	12	NA	NA	11.8	NA	8	NA	NA	NA	2.4	NA	NA	12	NA	NA	NA	NA	NA	13	7.4	NA	4	NA	NA	NA	NA	8.5	NA	NA	NA	10.4	NA	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.1	5.5	NA	11	10
1981	02	06	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	16	11.4	14	NA	14.2	14	NA	NA	NA	NA	14	NA	13	NA	9	14	12	NA	NA	17	NA	10	NA	NA	NA	5.4	NA	NA	9.5	NA	NA	NA	NA	NA	15	9.4	NA	9	NA	NA	NA	NA	10	NA	NA	NA	15.5	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	9	NA	12	12
1981	02	07	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	16	16.4	16	NA	15.8	14.5	NA	NA	NA	NA	15	NA	18	NA	12	13	14	NA	NA	16.8	NA	12	NA	NA	NA	11.6	NA	NA	15.7	NA	NA	NA	NA	NA	13	9	NA	10	NA	NA	NA	NA	12.5	NA	NA	NA	14.5	NA	16.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2	12	NA	11.5	14
1981	02	08	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	16	18.6	16	NA	17.2	16.5	NA	NA	NA	NA	16	NA	19	NA	15	8	14	NA	NA	17.5	NA	12	NA	NA	NA	12	NA	NA	17	NA	NA	NA	NA	NA	13	11.4	NA	15	NA	NA	NA	NA	11.5	NA	NA	NA	10.3	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2	14	NA	13	14
