yy	mm	dd	Sardegna_CA011B097	Sardegna_CA013B093	Sardegna_CA026B079	Sardegna_CA029B017	Sardegna_CA030B175	Sardegna_CA034B191	Sardegna_CA038B170	Sardegna_CA039B232	Sardegna_CA045B021	Sardegna_CA047B226	Sardegna_CA051B276	Sardegna_CA054B109	Sardegna_CA061B225	Sardegna_CA067B113	Sardegna_CA069B312	Sardegna_CA073B050	Sardegna_CA073B171	Sardegna_CA078B229	Sardegna_CA082A008	Sardegna_CA082B039	Sardegna_CA084B044	Sardegna_CA085B210	Sardegna_CA086B062	Sardegna_CA088B119	Sardegna_CA092B140	Sardegna_CA095B182	Sardegna_CA102B148	Sardegna_CA103B212	Sardegna_CA104B056	Sardegna_CA104B085	Sardegna_CA105B047	Sardegna_NU002B035	Sardegna_NU004B216	Sardegna_NU015B068	Sardegna_NU016B126	Sardegna_NU022B201	Sardegna_NU034B095	Sardegna_NU042B031	Sardegna_NU043B096	Sardegna_NU045B433	Sardegna_NU048B065	Sardegna_NU058B202	Sardegna_NU060B054	Sardegna_NU063B023	Sardegna_NU063B025	Sardegna_NU063B172	Sardegna_NU063B227	Sardegna_NU065B051	Sardegna_NU067B101	Sardegna_NU073B090	Sardegna_NU076B127	Sardegna_NU076B180	Sardegna_NU077B067	Sardegna_NU078B020	Sardegna_NU079B194	Sardegna_NU083B009	Sardegna_NU085B070	Sardegna_NU090B049	Sardegna_NU095B211	Sardegna_OR004B207	Sardegna_OR009B001	Sardegna_OR025B037	Sardegna_OR030B156	Sardegna_OR032E006	Sardegna_OR038B181	Sardegna_OR039B174	Sardegna_OR042B200	Sardegna_OR073B221	Sardegna_OR077B103	Sardegna_SS001B271	Sardegna_SS002B078	Sardegna_SS003B139	Sardegna_SS005B003	Sardegna_SS012B002	Sardegna_SS013B169	Sardegna_SS013B224	Sardegna_SS014B110	Sardegna_SS015B041	Sardegna_SS018B022	Sardegna_SS022B165	Sardegna_SS022B187	Sardegna_SS025B151	Sardegna_SS028B107	Sardegna_SS028B236	Sardegna_SS038B038	Sardegna_SS038B111	Sardegna_SS042B045	Sardegna_SS051B087	Sardegna_SS052B048	Sardegna_SS053B458	Sardegna_SS054B034	Sardegna_SS059B061	Sardegna_SS059B159	Sardegna_SS060B237	Sardegna_SS068B230	Sardegna_SS073B028	Sardegna_SS077B168	Sardegna_SS086B155
1981	01	14	2	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	3.5	NA	NA	10	4.3	3	NA	2.4	5	NA	NA	NA	NA	5.5	NA	2	NA	NA	0	7	5	NA	NA	6.2	NA	2	NA	NA	NA	NA	NA	-3.9	NA	NA	NA	NA	NA	1	0	NA	-2	NA	NA	NA	NA	NA	0	NA	NA	NA	5.1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	0	3
1981	01	15	5	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	8.5	NA	NA	6	3.4	4	NA	4.8	6.5	NA	NA	NA	NA	4	NA	6	NA	NA	2	9	5	NA	NA	7.5	NA	3	NA	NA	NA	NA	NA	-2.7	NA	NA	NA	NA	NA	3	1	NA	0	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	3.5	NA	1	3
1981	01	16	4.7	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	8	NA	NA	3	4.2	7	NA	4.4	9	NA	NA	NA	NA	8	NA	5	NA	NA	2	9	9	NA	NA	9	NA	0	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	NA	4	1	NA	0	NA	NA	NA	NA	NA	2.5	NA	NA	NA	3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2.5	NA	1	6.5
1981	01	17	2	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	5	NA	NA	2	6.4	3	NA	4.2	6	NA	NA	NA	NA	8	NA	2	NA	NA	2	6	4.5	NA	NA	7.2	NA	1	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	3	2	NA	-1	NA	NA	NA	NA	NA	1	NA	NA	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5	NA	2	3
1981	01	18	5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	10	NA	NA	5	5.2	7	NA	8	7.5	NA	NA	NA	NA	9	NA	9	NA	NA	3	NA	10	NA	NA	9.2	NA	4	NA	NA	NA	NA	NA	-2.5	NA	NA	NA	NA	NA	4	2	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	5.1	NA	9.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	4	NA	1.5	3.5
1981	01	19	4.8	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	6.5	NA	NA	4	5.6	5	NA	6.8	7	NA	NA	NA	NA	9	NA	6	NA	NA	3	10	8	NA	NA	8.5	NA	5	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	3	3	NA	-1	NA	NA	NA	NA	NA	2	NA	NA	NA	5.2	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	6	NA	2	2
1981	01	20	7	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	11	NA	NA	10	4.2	7	NA	6.8	9.5	NA	NA	NA	NA	7.5	NA	9	NA	NA	5	NA	8	NA	NA	8.2	NA	5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	10	NA	7.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	2	NA	0	2.5
1981	01	21	3	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	7	NA	NA	5	6.2	3	NA	5.8	6	NA	NA	NA	NA	7	NA	6	NA	NA	2	7	7.5	NA	NA	7	NA	2	NA	NA	NA	NA	NA	-6	NA	NA	NA	NA	NA	4	2	NA	-1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1.5	NA	2	2.5
1981	01	22	2.8	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	4.5	NA	NA	5	2.8	-1	NA	4.4	4.5	NA	NA	NA	NA	6	NA	5	NA	NA	1	6	8	NA	NA	8	NA	2	NA	NA	NA	NA	NA	-4.6	NA	NA	NA	NA	NA	2	0	NA	-2	NA	NA	NA	NA	NA	1.5	NA	NA	NA	5.3	NA	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8	1.5	NA	0	3.5
1981	01	23	3	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	6	NA	NA	0	6.4	3	NA	1.4	5.5	NA	NA	NA	NA	4	NA	6	NA	NA	0	6	8	NA	NA	7.5	NA	2	NA	NA	NA	NA	NA	-3.8	NA	NA	NA	NA	NA	3	0	NA	-2.5	NA	NA	NA	NA	NA	0	NA	NA	NA	5	NA	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	2	4.5
1981	01	24	1	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	1.5	NA	NA	0	4.4	2	NA	-1	3.5	NA	NA	NA	NA	2	NA	4	NA	NA	1	4	7	NA	NA	3	NA	-1	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	NA	4	-0.2	NA	-6	NA	NA	NA	NA	NA	0	NA	NA	NA	5	NA	-0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	3	NA	0.5	-1.5
1981	01	25	1.8	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	3	NA	NA	1	4.2	6	NA	0.8	1.5	NA	NA	NA	NA	0	NA	2	NA	NA	1	2	2	NA	NA	3	NA	1	NA	NA	NA	NA	NA	-4	NA	NA	NA	NA	NA	2	-0.3	NA	-4	NA	NA	NA	NA	NA	1	NA	NA	NA	5.1	NA	-0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2	3	NA	1.5	-3
1981	01	26	2	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	8	NA	NA	5	8.6	7	NA	6	4.5	NA	NA	NA	NA	0	NA	10	NA	NA	4	2	5	NA	NA	6.5	NA	2	NA	NA	NA	NA	NA	-2.9	NA	NA	NA	NA	NA	3	-0.3	NA	1	NA	NA	NA	NA	NA	4	NA	NA	NA	4	NA	6.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	NA	0.5	-2
1981	01	27	3	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	6	NA	NA	4	5.2	5	NA	3.2	5	NA	NA	NA	NA	-1	NA	6	NA	NA	4	NA	5	NA	NA	7	NA	-1	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	4	-0.1	NA	-4.5	NA	NA	NA	NA	NA	1	NA	NA	NA	5.2	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	3	NA	0	-2
1981	01	28	0.2	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NA	NA	0	4.6	2	NA	0.6	4	NA	NA	NA	NA	-1	NA	2	NA	NA	0	4	5.5	NA	NA	3.5	NA	-1	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	3	0	NA	-5	NA	NA	NA	NA	NA	-1	NA	NA	NA	5.2	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.5	2	NA	0.5	-1
1981	01	29	0	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA	0	0	1	NA	0	2	NA	NA	NA	NA	-1	NA	2	NA	NA	-2	4	4	NA	NA	4	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	-8	NA	NA	NA	NA	NA	-4	NA	NA	NA	5	NA	-1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	-1	NA	-1	-3
1981	01	30	-0.2	NA	NA	NA	NA	NA	NA	NA	NA	5.2	NA	2	NA	NA	-1	4.2	2	NA	-1.2	3	NA	NA	NA	NA	-2	NA	-1	NA	NA	-2	3	6	NA	NA	5.2	NA	0	NA	NA	NA	NA	NA	-6	NA	NA	NA	NA	NA	0	-0.1	NA	-6	NA	NA	NA	NA	NA	-1	NA	NA	NA	4	NA	-2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.8	-0.5	NA	-2	-3
1981	01	31	-0.5	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	1	NA	NA	-2	1.6	2	NA	-1.8	2	NA	NA	NA	NA	-2	NA	-1	NA	NA	-2	3	6	NA	NA	4.5	NA	-2	NA	NA	NA	NA	NA	-3.2	NA	NA	NA	NA	NA	2	-0.1	NA	-8	NA	NA	NA	NA	NA	-2	NA	NA	NA	3	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.2	2	NA	0	-4
1981	02	01	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	2	NA	NA	-1	4.4	4	NA	-1	2	NA	NA	NA	NA	0	NA	2	NA	NA	1	4	7	NA	NA	3	NA	-2	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	5	0.2	NA	-4	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	4.5	NA	0	-2
1981	02	02	1.5	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	4	NA	NA	0	3.2	4	NA	0	4	NA	NA	NA	NA	0	NA	6	NA	NA	2	4	3	NA	NA	3.8	NA	2	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	6	0	NA	-4	NA	NA	NA	NA	NA	1.5	NA	NA	NA	5.2	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.4	5	NA	0.5	-2.5
1981	02	03	3.2	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	4.5	NA	NA	1	4.2	5	NA	1.2	5.5	NA	NA	NA	NA	1	NA	5	NA	NA	2	5	3	NA	NA	3.5	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4	0.3	NA	-4	NA	NA	NA	NA	NA	2	NA	NA	NA	5.3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	NA	-3	-2
1981	02	04	3	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	4.5	NA	NA	4	6.2	6	NA	4.2	6.5	NA	NA	NA	NA	3.5	NA	6	NA	NA	4	8	3	NA	NA	3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	3	1.3	NA	2.5	NA	NA	NA	NA	NA	4	NA	NA	NA	4	NA	6.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9	3	NA	0	-1
1981	02	05	3.8	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	8	NA	NA	5	7.4	6	NA	6.2	7.5	NA	NA	NA	NA	4	NA	5	NA	NA	2	9	9	NA	NA	4	NA	0	NA	NA	NA	NA	NA	-2.7	NA	NA	NA	NA	NA	3	1.8	NA	0	NA	NA	NA	NA	NA	1.5	NA	NA	NA	5.3	NA	6.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	3.5	NA	2	5.5
1981	02	06	2	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	5	NA	NA	4	6.4	4	NA	3.2	6	NA	NA	NA	NA	3	NA	6	NA	NA	1	8.5	7	NA	NA	7.2	NA	2	NA	NA	NA	NA	NA	-4	NA	NA	NA	NA	NA	2	2.3	NA	-2	NA	NA	NA	NA	NA	0	NA	NA	NA	10.1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	2.5	NA	3.5	-1
1981	02	07	2	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	3	NA	NA	3	6.2	6	NA	1.8	6.5	NA	NA	NA	NA	2	NA	3	NA	NA	2	4	4	NA	NA	3.5	NA	5	NA	NA	NA	NA	NA	-4.8	NA	NA	NA	NA	NA	4	2	NA	-4	NA	NA	NA	NA	NA	-1	NA	NA	NA	5.3	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	3	-1
1981	02	08	2	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	4	NA	NA	4	7.4	7	NA	2.8	5.5	NA	NA	NA	NA	2	NA	3	NA	NA	4	3	3.5	NA	NA	3	NA	2	NA	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	4	2.4	NA	-2.5	NA	NA	NA	NA	NA	3.5	NA	NA	NA	5.4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	3.5	NA	2	2
